
"강상면","9,961","9,961","709","903","705","904","1,522","1,565","1,955","1,132","492","73","1"
"강하면","4,831","4,831","161","198","314","313","456","814","1,412","790","323","49","1"
"양서면","13,819","13,819","626","1,019","1,083","1,112","1,638","2,487","3,087","1,790","853","120","4"
"옥천면","8,072","8,072","385","583","592","667","1,003","1,391","1,873","1,003","499","76","0"
"서종면","9,961","9,961","517","882","567","732","1,446","1,769","2,266","1,228","474","80","0"
"단월면","3,915","3,915","92","236","206","240","373","658","1,069","626","366","48","1"
"청운면","3,766","3,766","82","141","192","182","320","626","1,077","669","415","60","2"
"양동면","4,550","4,550","107","199","243","249","355","784","1,301","777","445","86","4"
"지평면","6,797","6,797","198","344","402","359","601","1,136","1,901","1,094","639","118","5"
"용문면","18,347","18,347","1,075","1,628","1,435","1,638","2,379","3,013","3,666","2,131","1,192","185","5"
"개군면","5,095","5,095","174","290","328","311","547","871","1,312","783","418","59","2"

